name,price_raw,weight_raw,stackable_raw,rarity_raw,category_raw,subcategory_raw,url
Advanced Arrow,"1,110G",0.025,Yes,COMMON,Ammo,,https://paldex.gg/items/advanced-arrow/
Advanced Bow Schematic 2,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/advanced-bow-schematic-2/
Advanced Bow Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/advanced-bow-schematic-1/
Ability Glasses,"51,600G",1,No,RARE,Accessory,,https://paldex.gg/items/ability-glasses/
Palworld Items,Sort:,Sort:,,Sort:,Collapse,,https://paldex.gg/items/
Advanced Bow,"170,160G",25,No,COMMON,Bows,,https://paldex.gg/items/advanced-bow/
Advanced Bow Schematic 4,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/advanced-bow-schematic-4/
Advanced Bow Schematic 3,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/advanced-bow-schematic-3/
Advanced Fishing Rod (Depresso) Schematic,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/advanced-fishing-rod-depresso-schematic/
Advanced Fishing Rod (Depresso),"120,120G",5,No,LEGENDARY,Fishing rods,,https://paldex.gg/items/advanced-fishing-rod-depresso/
Advanced Shield,"402,540G",5,No,EPIC,Shields,,https://paldex.gg/items/advanced-shield/
Advanced Recovery Meds,"20,520G",0.2,Yes,EPIC,Drugs,,https://paldex.gg/items/advanced-recovery-meds/
Advanced Fishing Rod (Pengullet),"43,860G",5,No,EPIC,Fishing rods,,https://paldex.gg/items/advanced-fishing-rod-pengullet/
Aegidron Saddle,â,0,Yes,LEGENDARY,Pal gear,,https://paldex.gg/items/aegidron-saddle/
Aegidron Bounty Token,1G,0,Yes,LEGENDARY,Boss rewards,,https://paldex.gg/items/aegidron-bounty-token/
AI Core,"252,940G",10,Yes,COMMON,Processed,,https://paldex.gg/items/ai-core/
Advanced Technical Manual,10G,0,Yes,UNCOMMON,Tech manuals,,https://paldex.gg/items/advanced-technical-manual/
Air Walker Mk I,"133,920G",2,No,EPIC,Accessory,,https://paldex.gg/items/air-walker-mk-i/
Air Walker Mk I Schematic,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/air-walker-mk-i-schematic/
Air Dash Boots,"54,120G",2,No,RARE,Accessory,,https://paldex.gg/items/air-dash-boots/
Air Walker EX Schematic,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/air-walker-ex-schematic/
Air Walker EX,"406,440G",2,No,EPIC,Accessory,,https://paldex.gg/items/air-walker-ex/
Air Walker Mk II,"210,360G",2,No,EPIC,Accessory,,https://paldex.gg/items/air-walker-mk-ii/
Air Walker Mk II Schematic,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/air-walker-mk-ii-schematic/
Air Walker Mk III,"272,400G",2,No,EPIC,Accessory,,https://paldex.gg/items/air-walker-mk-iii/
Air Walker Mk III Schematic,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/air-walker-mk-iii-schematic/
Ancient Armor Schematic 2,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/ancient-armor-schematic-2/
Ancient Armor,"1,169,780G",40,No,COMMON,Body,,https://paldex.gg/items/ancient-armor/
Ancient Armor Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/ancient-armor-schematic-1/
Ancient Armor Schematic 4,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/ancient-armor-schematic-4/
Alluring Bait,"2,020G",0.025,Yes,EPIC,Bait,,https://paldex.gg/items/alluring-bait/
Ancient Bark,800G,5,Yes,UNCOMMON,Wood,,https://paldex.gg/items/ancient-bark/
Ancient Armor Schematic 3,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/ancient-armor-schematic-3/
Ancient Bone,"1,200G",8,Yes,UNCOMMON,Ores,,https://paldex.gg/items/ancient-bone/
Ancient Civilization Parts,"1,000G",1,Yes,RARE,Pal materials,,https://paldex.gg/items/ancient-civilization-parts/
Ancient Civilization Core,"2,000G",1,Yes,LEGENDARY,Pal materials,,https://paldex.gg/items/ancient-civilization-core/
Ancient Helm,"779,860G",15,No,COMMON,Head,,https://paldex.gg/items/ancient-helm/
Ancient Helm Schematic 2,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/ancient-helm-schematic-2/
Ancient Helm Schematic 4,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/ancient-helm-schematic-4/
Ancient Helm Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/ancient-helm-schematic-1/
Ancient Helm Schematic 3,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/ancient-helm-schematic-3/
Ancient Sphere,"122,760G",0.1,Yes,LEGENDARY,Spheres,,https://paldex.gg/items/ancient-sphere/
Ancient Shield,"1,929,840G",5,No,LEGENDARY,Shields,,https://paldex.gg/items/ancient-shield/
Ancient Lava,"1,000G",8,Yes,UNCOMMON,Ores,,https://paldex.gg/items/ancient-lava/
Ancient Pal Manuscript,"1,000G",0.1,Yes,RARE,Pal materials,,https://paldex.gg/items/ancient-pal-manuscript/
Anti-Gravity Belt,"23,160G",2,No,UNCOMMON,Accessory,,https://paldex.gg/items/anti-gravity-belt/
Applied Cooling Handbook I,10G,1,Yes,LEGENDARY,Work boosters,,https://paldex.gg/items/applied-cooling-handbook-i/
Anubis's Talisman Schematic,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/anubis-s-talisman-schematic/
Anubis Bounty Token,1G,0,Yes,RARE,Boss rewards,,https://paldex.gg/items/anubis-bounty-token/
Ancient Technical Manual,10G,0,Yes,LEGENDARY,Ancient manuals,,https://paldex.gg/items/ancient-technical-manual/
Anubis's Talisman,"48,480G",2,No,EPIC,Accessory,,https://paldex.gg/items/anubis-s-talisman/
Applied Handiwork Handbook I,10G,1,Yes,LEGENDARY,Work boosters,,https://paldex.gg/items/applied-handiwork-handbook-i/
Applied Generating Electricity Handbook I,10G,1,Yes,LEGENDARY,Work boosters,,https://paldex.gg/items/applied-generating-electricity-handbook-i/
Applied Kindling Handbook I,10G,1,Yes,LEGENDARY,Work boosters,,https://paldex.gg/items/applied-kindling-handbook-i/
Applied Mining Handbook I,10G,1,Yes,LEGENDARY,Work boosters,,https://paldex.gg/items/applied-mining-handbook-i/
Applied Planting Handbook I,10G,1,Yes,LEGENDARY,Work boosters,,https://paldex.gg/items/applied-planting-handbook-i/
Applied Ranching Handbook I,10G,1,Yes,LEGENDARY,Work boosters,,https://paldex.gg/items/applied-ranching-handbook-i/
Applied Gathering Handbook I,10G,1,Yes,LEGENDARY,Work boosters,,https://paldex.gg/items/applied-gathering-handbook-i/
Applied Transporting Handbook I,10G,1,Yes,LEGENDARY,Work boosters,,https://paldex.gg/items/applied-transporting-handbook-i/
Applied Medicine Production Handbook I,10G,1,Yes,LEGENDARY,Work boosters,,https://paldex.gg/items/applied-medicine-production-handbook-i/
Applied Lumbering Handbook I,10G,1,Yes,LEGENDARY,Work boosters,,https://paldex.gg/items/applied-lumbering-handbook-i/
Applied Watering Handbook I,10G,1,Yes,LEGENDARY,Work boosters,,https://paldex.gg/items/applied-watering-handbook-i/
Aquatic Construction Kit,200G,0,Yes,EPIC,Ability unlocks,,https://paldex.gg/items/aquatic-construction-kit/
Aquatic Pal Fluids,300G,0.2,Yes,COMMON,Pal materials,,https://paldex.gg/items/aquatic-pal-fluids/
Arrow,10G,0.025,Yes,COMMON,Ammo,,https://paldex.gg/items/arrow/
Arsox Bounty Token,1G,0,Yes,COMMON,Boss rewards,,https://paldex.gg/items/arsox-bounty-token/
Assault Rifle Ammo,90G,0.01,Yes,COMMON,Ammo,,https://paldex.gg/items/assault-rifle-ammo/
Assault Rifle Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/assault-rifle-schematic-1/
Assault Rifle Schematic 3,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/assault-rifle-schematic-3/
Assault Rifle Schematic 2,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/assault-rifle-schematic-2/
Arsox Saddle,â,0,Yes,COMMON,Pal gear,,https://paldex.gg/items/arsox-saddle/
Astegon Bounty Token,1G,0,Yes,RARE,Boss rewards,,https://paldex.gg/items/astegon-bounty-token/
Assault Rifle,"57,600G",15,No,COMMON,Assault rifles,,https://paldex.gg/items/assault-rifle/
Assault Rifle Schematic 4,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/assault-rifle-schematic-4/
Attack Pendant Schematic,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/attack-pendant-schematic/
Attack Support Whistle,"21,960G",2,No,RARE,Accessory,,https://paldex.gg/items/attack-support-whistle/
Attack Support Whistle Schematic,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/attack-support-whistle-schematic/
Attack Pendant,"16,500G",2,No,RARE,Accessory,,https://paldex.gg/items/attack-pendant/
Astegon Saddle,â,0,Yes,RARE,Pal gear,,https://paldex.gg/items/astegon-saddle/
Auri Hat,"10,000G",7,No,LEGENDARY,Head,,https://paldex.gg/items/auri-hat/
Axel Hat,"10,000G",7,No,LEGENDARY,Head,,https://paldex.gg/items/axel-hat/
Average Feed Bag,1G,0,Yes,UNCOMMON,Ability unlocks,,https://paldex.gg/items/average-feed-bag/
Azurmane Bounty Token,1G,0,Yes,LEGENDARY,Boss rewards,,https://paldex.gg/items/azurmane-bounty-token/
Azurobe Saddle,â,0,Yes,UNCOMMON,Pal gear,,https://paldex.gg/items/azurobe-saddle/
Azurobe Bounty Token,1G,0,Yes,UNCOMMON,Boss rewards,,https://paldex.gg/items/azurobe-bounty-token/
Azurobe Cryst Saddle,â,0,Yes,UNCOMMON,Pal gear,,https://paldex.gg/items/azurobe-cryst-saddle/
Bastigor's Hammer,â,0,Yes,LEGENDARY,Pal gear,,https://paldex.gg/items/bastigor-s-hammer/
Azurmane Saddle,â,0,Yes,EPIC,Pal gear,,https://paldex.gg/items/azurmane-saddle/
Baked Mushroom,360G,1,Yes,COMMON,Veggie dishes,,https://paldex.gg/items/baked-mushroom/
Baked Berries,60G,0.15,Yes,COMMON,Veggie dishes,,https://paldex.gg/items/baked-berries/
Bat,580G,3,No,COMMON,Melee,,https://paldex.gg/items/bat/
Beakon Bounty Token,1G,0,Yes,UNCOMMON,Boss rewards,,https://paldex.gg/items/beakon-bounty-token/
Battle Ticket,10G,0,Yes,EPIC,Jewelry,,https://paldex.gg/items/battle-ticket/
Beakon Saddle,â,0,Yes,UNCOMMON,Pal gear,,https://paldex.gg/items/beakon-saddle/
Beam Launcher Ammo,"13,660G",0.025,Yes,COMMON,Ammo,,https://paldex.gg/items/beam-launcher-ammo/
Beakon Cryst Saddle,â,0,Yes,UNCOMMON,Pal gear,,https://paldex.gg/items/beakon-cryst-saddle/
Beam Launcher Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/beam-launcher-schematic-1/
Beam Launcher Schematic 2,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/beam-launcher-schematic-2/
Beam Scatter Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/beam-scatter-schematic-1/
Beam Launcher Schematic 3,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/beam-launcher-schematic-3/
Beam Launcher Schematic 4,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/beam-launcher-schematic-4/
Beam Launcher,"5,137,080G",30,No,COMMON,Rocket launchers,,https://paldex.gg/items/beam-launcher/
Beam Scatter Schematic 2,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/beam-scatter-schematic-2/
Beam Scatter Ammo,"7,830G",0.025,Yes,COMMON,Ammo,,https://paldex.gg/items/beam-scatter-ammo/
